scope_order,scope_id,scope_rule_order,admission_rule_id,admission_rule_name,execution_domain,dispatcher_call_phase,candidate_record_source,batch_context_source,evaluation_context_source,download_result_context_source,stage_authorization_context_source,vector_position,result_reuse_policy,expected_calls_for_N,contract_evidence_source,contract_passed
1,download_execution_permission,1,ADMIT_001,unique_candidate_identity,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,None,None,None,0,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_001,true
1,download_execution_permission,2,ADMIT_002,valid_pdb_id_format,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,1,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_002,true
1,download_execution_permission,3,ADMIT_003,ligand_or_het_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,2,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_003,true
1,download_execution_permission,4,ADMIT_004,covalent_residue_identity_present,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,3,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_004,true
1,download_execution_permission,5,ADMIT_005,cys_sg_scope_only_v1,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,None,None,None,4,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_005,true
1,download_execution_permission,6,ADMIT_006,explicit_covalent_event_evidence,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,5,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_006,true
1,download_execution_permission,7,ADMIT_007,distance_only_inference_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,6,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_007,true
1,download_execution_permission,8,ADMIT_008,topology_restoration_disposition,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,7,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_008,true
1,download_execution_permission,9,ADMIT_009,duplicate_identity_precheck,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,api_batch_context_same_identity,candidate_input.evaluation_context_same_identity,None,None,8,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_009,true
1,download_execution_permission,10,ADMIT_011,raw_overwrite_forbidden,per_candidate,candidate_tuple_order_then_scope_membership_order,candidate_input.candidate_record_same_identity,None,candidate_input.evaluation_context_same_identity,None,None,9,same_candidate_result_identity_inserted_once,N,Exact15/Exact14 committed runtime plus inherited registered handler contract:ADMIT_011,true
