case_group,case_id,expected,observed,case_passed
canonical_plan,download_execution_permission:N=1,'download_execution_permission','download_execution_permission',true
candidate_count,download_execution_permission:N=1,1,1,true
dispatcher_cardinality,download_execution_permission:N=1,11,11,true
aggregator_cardinality,download_execution_permission:N=1,1,1,true
complete_vector_membership,download_execution_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_014')",true
candidate_order,download_execution_permission:N=1,"(0,)","(0,)",true
candidate_rule_order,download_execution_permission:N=1,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011')",true
input_object_identity,download_execution_permission:N=1,True,True,true
stage_global_result_identity_reuse,download_execution_permission:N=1:ADMIT_014,True,True,true
action_permission_always_false,download_execution_permission:N=1,False,False,true
design_oracle_io_false,download_execution_permission:N=1,False,False,true
canonical_plan,download_execution_permission:N=2,'download_execution_permission','download_execution_permission',true
candidate_count,download_execution_permission:N=2,2,2,true
dispatcher_cardinality,download_execution_permission:N=2,21,21,true
aggregator_cardinality,download_execution_permission:N=2,2,2,true
complete_vector_membership,download_execution_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_014')",true
candidate_order,download_execution_permission:N=2,"(0, 1)","(0, 1)",true
candidate_rule_order,download_execution_permission:N=2,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011')",true
input_object_identity,download_execution_permission:N=2,True,True,true
stage_global_result_identity_reuse,download_execution_permission:N=2:ADMIT_014,True,True,true
action_permission_always_false,download_execution_permission:N=2,False,False,true
design_oracle_io_false,download_execution_permission:N=2,False,False,true
canonical_plan,download_execution_permission:N=3,'download_execution_permission','download_execution_permission',true
candidate_count,download_execution_permission:N=3,3,3,true
dispatcher_cardinality,download_execution_permission:N=3,31,31,true
aggregator_cardinality,download_execution_permission:N=3,3,3,true
complete_vector_membership,download_execution_permission:N=3,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_014')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_011', 'ADMIT_014')",true
candidate_order,download_execution_permission:N=3,"(0, 1, 2)","(0, 1, 2)",true
