safety_item,expected_executed,observed_executed,safety_verified
network,false,false,true
provider,false,false,true
download,false,false,true
raw,false,false,true
torch,false,false,true
model,false,false,true
checkpoint,false,false,true
dataloader,false,false,true
forward,false,false,true
loss,false,false,true
backward,false,false,true
optimizer,false,false,true
scheduler,false,false,true
parameter_update,false,false,true
checkpoint_write,false,false,true
training,false,false,true
current_permission,false,false,true
action_permission,false,false,true
ready_for_training,false,false,true
