safety_order,safety_item,expected,observed,passed
1,network,false,false,true
2,provider,false,false,true
3,download,false,false,true
4,raw,false,false,true
5,torch,false,false,true
6,model,false,false,true
7,checkpoint,false,false,true
8,dataloader,false,false,true
9,forward,false,false,true
10,loss,false,false,true
11,backward,false,false,true
12,optimizer,false,false,true
13,scheduler,false,false,true
14,parameter_update,false,false,true
15,checkpoint_write,false,false,true
16,training_action,false,false,true
17,current_permission,false,false,true
18,action_permission,false,false,true
19,ready_for_training,false,false,true
