assignment_id,sample_index_row_id,pdb_id,ligand_comp_id,source_index_stage,ligand_graph_group_id,ligand_scaffold_group_id,protein_exact_sequence_group_id,protein_accession_group_id,protein_sequence_cluster_90_id,protein_sequence_cluster_50_id,direct_must_link_neighbor_count,final_leakage_group_id,final_leakage_group_member_count,final_leakage_group_status,assignment_policy,final_group_assignment_passed,eligible_for_split_materialization_current_step,ready_for_training_current_step,feature_semantics_audit_required_before_training,leakage_split_design_required_before_training,blocking_reasons
COVAPIE_ASSIGNMENT_000001,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,pilot,COVAPIE_LIGAND_GRAPH_GROUP_000006,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000003,COVAPIE_PROTEIN_ACCESSION_GROUP_000005,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000001,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000001,2,COVAPIE_LEAKAGE_GROUP_000001,3,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000002,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,pilot,COVAPIE_LIGAND_GRAPH_GROUP_000006,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000003,COVAPIE_PROTEIN_ACCESSION_GROUP_000005,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000001,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000001,2,COVAPIE_LEAKAGE_GROUP_000001,3,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000003,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,pilot,COVAPIE_LIGAND_GRAPH_GROUP_000006,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000003,COVAPIE_PROTEIN_ACCESSION_GROUP_000005,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000001,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000001,2,COVAPIE_LEAKAGE_GROUP_000001,3,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000004,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000005,COVAPIE_LIGAND_SCAFFOLD_GROUP_000006,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000004,COVAPIE_PROTEIN_ACCESSION_GROUP_000001,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000002,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000002,0,COVAPIE_LEAKAGE_GROUP_000002,1,provisional_independent_singleton_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000005,CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000003,COVAPIE_LIGAND_SCAFFOLD_GROUP_000007,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000002,COVAPIE_PROTEIN_ACCESSION_GROUP_000002,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000003,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000003,0,COVAPIE_LEAKAGE_GROUP_000003,1,provisional_independent_singleton_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000006,CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000001,COVAPIE_LIGAND_SCAFFOLD_GROUP_000005,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,COVAPIE_PROTEIN_ACCESSION_GROUP_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000004,4,COVAPIE_LEAKAGE_GROUP_000004,5,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000007,CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000007,COVAPIE_LIGAND_SCAFFOLD_GROUP_000003,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,COVAPIE_PROTEIN_ACCESSION_GROUP_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000004,4,COVAPIE_LEAKAGE_GROUP_000004,5,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000008,CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000004,COVAPIE_LIGAND_SCAFFOLD_GROUP_000009,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,COVAPIE_PROTEIN_ACCESSION_GROUP_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000004,4,COVAPIE_LEAKAGE_GROUP_000004,5,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000009,CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000002,COVAPIE_LIGAND_SCAFFOLD_GROUP_000004,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,COVAPIE_PROTEIN_ACCESSION_GROUP_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000004,4,COVAPIE_LEAKAGE_GROUP_000004,5,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
COVAPIE_ASSIGNMENT_000010,CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,expansion,COVAPIE_LIGAND_GRAPH_GROUP_000008,COVAPIE_LIGAND_SCAFFOLD_GROUP_000008,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,COVAPIE_PROTEIN_ACCESSION_GROUP_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000004,4,COVAPIE_LEAKAGE_GROUP_000004,5,confirmed_nonindependent_group_within_current_11_sample_set,conservative_union_of_ligand_graph_scaffold_and_protein_accession_sequence_clusters_v1,True,True,False,True,True,
