safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_access_used_current_step,False,False,True,
download_attempted_current_step,False,False,True,
raw_entry_files_read_current_step,False,False,True,
ccd_raw_files_read_current_step,False,False,True,
raw_files_modified,False,False,True,
raw_files_tracked,False,False,True,
raw_files_staged,False,False,True,
pilot_index_files_unchanged,True,True,True,
expansion_index_files_unchanged,True,True,True,
step14ao_artifacts_unchanged,True,True,True,
step14an_artifacts_unchanged,True,True,True,
step14am_artifacts_unchanged,True,True,True,
unified_sample_index_csv_written,True,True,True,
unified_sample_index_json_written,True,True,True,
final_group_assignment_csv_written,True,True,True,
final_group_assignment_json_written,True,True,True,
group_inventory_csv_written,True,True,True,
pairwise_assignment_audit_written,True,True,True,
merge_traceability_csv_written,True,True,True,
schema_validation_audit_written,True,True,True,
source_sample_indexes_modified,False,False,True,
split_assignments_written,False,False,True,
leakage_matrix_written,False,False,True,
final_dataset_written,False,False,True,
actual_dataloader_artifacts_written,False,False,True,
training_artifacts_written,False,False,True,
standalone_assignment_qa_gate_created,False,False,True,
embedded_assignment_qa_performed,True,True,True,
part_or_tmp_files_remaining,False,False,True,
forbidden_artifacts_present,False,False,True,
protected_source_diff_empty,True,True,True,
original_dataloader_diff_empty,True,True,True,
unexpected_staged_files_present,False,False,True,
torch_imported,False,False,True,
numpy_imported,False,False,True,
rdkit_used,False,False,True,
biopython_used,False,False,True,
gemmi_used,False,False,True,
requests_used,False,False,True,
