ligand_atom_topology_row_id,review_row_id,pdb_id,expected_step8_sample_name,source_step13q_atom_topology_row_id,source_pre_reaction_sdf_path,source_pre_reaction_sdf_sha256,rdkit_atom_idx,atom_map_or_original_atom_id,atom_symbol,formal_charge,aromatic,hybridization,degree,explicit_valence,implicit_valence,is_covalent_ligand_endpoint_atom,warhead_group_status,linker_group_status,scaffold_group_status,topology_source_stage,topology_source_artifact,topology_smoke_status,training_use_status
LTOP_ATOM_000001,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0000,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,0,0,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000002,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0001,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,1,1,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000003,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0002,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,2,2,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000004,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0003,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,3,3,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000005,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0004,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,4,4,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000006,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0005,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,5,5,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000007,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0006,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,6,6,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000008,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0007,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,7,7,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000009,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0008,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,8,8,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_ATOM_000010,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_ATOM_0009,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,9,9,O,0,False,UNSPECIFIED,1,1,0,False,false,false,true,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_atom_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
