shape_item,shape_group,expected_rank,expected_first_dimension_source,expected_first_dimension_value,expected_dtype_family,expected_shape_status,materialization_status,validation_method_next_step,blocking_for_design_gate
pocket_atom_coordinates,protein_pocket,2,pocket_atom_count,per_sample_variable,floating,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
pocket_atom_features,protein_pocket,2,pocket_atom_count,per_sample_variable,numeric_or_categorical,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
pocket_residue_features,protein_pocket,2,pocket_atom_count,per_sample_variable,numeric_or_categorical,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
ligand_atom_coordinates,ligand,2,ligand_atom_count,per_sample_variable,floating,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
ligand_atom_features,ligand,2,ligand_atom_count,per_sample_variable,numeric_or_categorical,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
ligand_bond_index,ligand,2,ligand_bond_count,per_sample_variable,integer_index,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
ligand_bond_features,ligand,2,ligand_bond_count,per_sample_variable,numeric_or_categorical,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
ligand_group_labels,group_labels,1,ligand_atom_count,per_sample_variable,boolean_or_integer,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
covalent_endpoint_atom_mask,covalent_labels,1,ligand_atom_count,per_sample_variable,boolean,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
reactive_residue_atom_coordinates,covalent_labels,1,single_reactive_atom,1,floating,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
canonical_mask_task_id_or_name,mask_tasks,1,mask_task_count,5,string_or_integer,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
auxiliary_warhead_type_label,auxiliary_labels,0,sample,1,string_or_integer,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
auxiliary_ligand_residue_atom_pair_label,auxiliary_labels,0,sample,1,string_or_integer,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
auxiliary_pre_post_geometry_label,auxiliary_labels,0,sample,1,floating_or_categorical,declared_for_future_dry_run,design_only_not_tensorized,loader_shape_dry_run_execution_smoke,False
