boundary_item,design_allowed_next_step_status,observed_current_step_status,boundary_respected,training_forbidden_respected,artifact_forbidden_respected,boundary_audit_passed,blocking_reasons
loader_instantiation,allowed_only_for_shape_dry_run_execution_smoke,executed_allowed_for_shape_inspection,True,True,True,True,
torch_tensor_creation,allowed_only_for_shape_dry_run_execution_smoke,executed_transient_in_memory_for_shape_inspection,True,True,True,True,
dataloader_modification,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
forward_call,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
loss_compute,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
backward_call,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
optimizer_creation,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
trainer_fit,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
checkpoint_save,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
pt_npz_artifact_creation,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
rdkit_or_sdf_access,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
raw_mmcif_access,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
training_claim,forbidden_in_next_step,not_executed_or_not_allowed,True,True,True,True,
feature_semantics_audit,remains_required_before_training,required_before_training_not_completed,True,True,True,True,
