dependency_name,dependency_artifact_path,dependency_exists,dependency_row_count,dependency_expected_row_count,dependency_count_validated,dependency_qa_passed,blocking_reasons
step13z_manifest,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_execution_smoke_v0/loader_shape_dry_run_execution_smoke_manifest.json,True,1,1,True,True,
step13z_sample_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_execution_smoke_v0/loader_shape_dry_run_sample_audit.csv,True,3,3,True,True,
step13z_shape_observation,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_execution_smoke_v0/loader_shape_dry_run_shape_observation.csv,True,42,42,True,True,
step13z_batch_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_execution_smoke_v0/loader_shape_dry_run_batch_audit.csv,True,3,3,True,True,
step13z_execution_boundary_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_execution_smoke_v0/loader_shape_dry_run_execution_boundary_audit.csv,True,14,14,True,True,
step13z_feature_semantics_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_execution_smoke_v0/loader_shape_dry_run_feature_semantics_audit.csv,True,12,12,True,True,
step13y_input_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_design_gate_v0/loader_shape_dry_run_input_contract.csv,True,3,3,True,True,
step13y_shape_expectation_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_design_gate_v0/loader_shape_dry_run_shape_expectation_contract.csv,True,14,14,True,True,
step13y_execution_boundary_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_design_gate_v0/loader_shape_dry_run_execution_boundary_contract.csv,True,14,14,True,True,
step13y_feature_semantics_boundary,data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_design_gate_v0/loader_shape_dry_run_feature_semantics_boundary.csv,True,12,12,True,True,
