field_name,field_group,field_description,required_for_future_model_input,source_stage,source_artifact,diff_sbdd_compatibility_status,materialization_status,training_use_status
sample_index_row_id,sample_identity,Future DiffSBDD-compatible model input field `sample_index_row_id`.,True,real_covalent_confirmed_candidate_sample_index_qa_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
review_row_id,sample_identity,Future DiffSBDD-compatible model input field `review_row_id`.,True,real_covalent_confirmed_candidate_sample_index_qa_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
pdb_id,sample_identity,Future DiffSBDD-compatible model input field `pdb_id`.,True,real_covalent_confirmed_candidate_sample_index_qa_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
expected_step8_sample_name,sample_identity,Future DiffSBDD-compatible model input field `expected_step8_sample_name`.,True,real_covalent_confirmed_candidate_sample_index_qa_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
v1_train_ready_scope,sample_identity,Future DiffSBDD-compatible model input field `v1_train_ready_scope`.,True,real_covalent_confirmed_candidate_sample_index_qa_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
residue_scope,sample_identity,Future DiffSBDD-compatible model input field `residue_scope`.,True,real_covalent_confirmed_candidate_sample_index_qa_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
pocket_atom_table_path,protein_pocket_input,Future DiffSBDD-compatible model input field `pocket_atom_table_path`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
pocket_atom_count,protein_pocket_input,Future DiffSBDD-compatible model input field `pocket_atom_count`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
pocket_center_status,protein_pocket_input,Future DiffSBDD-compatible model input field `pocket_center_status`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
pocket_coordinate_frame_status,protein_pocket_input,Future DiffSBDD-compatible model input field `pocket_coordinate_frame_status`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
protein_atom_coordinates_status,protein_pocket_input,Future DiffSBDD-compatible model input field `protein_atom_coordinates_status`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
protein_atom_feature_status,protein_pocket_input,Future DiffSBDD-compatible model input field `protein_atom_feature_status`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
protein_residue_feature_status,protein_pocket_input,Future DiffSBDD-compatible model input field `protein_residue_feature_status`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
reactive_residue_identifier,protein_pocket_input,Future DiffSBDD-compatible model input field `reactive_residue_identifier`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
reactive_residue_atom_name,protein_pocket_input,Future DiffSBDD-compatible model input field `reactive_residue_atom_name`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
reactive_residue_atom_coordinates_status,protein_pocket_input,Future DiffSBDD-compatible model input field `reactive_residue_atom_coordinates_status`.,True,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
ligand_atom_topology_table_path,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_atom_topology_table_path`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
ligand_bond_topology_table_path,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_bond_topology_table_path`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
ligand_atom_count,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_atom_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
ligand_bond_count,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,compatible_by_existing_source_dependency,design_only_not_materialized,not_training_input_yet
ligand_atom_feature_status,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_atom_feature_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
ligand_bond_feature_status,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_bond_feature_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
ligand_coordinates_status,ligand_topology_coordinates,Future DiffSBDD-compatible model input field `ligand_coordinates_status`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,requires_future_materialization_mapping,design_only_not_materialized,not_training_input_yet
