field_name,field_group,output_table,data_type,required_for_pocket_extraction_smoke,source_stage,source_column,design_rule,validation_rule,training_use_status
pocket_extraction_contract_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,pocket_extraction_contract_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
minimal_sample_record_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,minimal_sample_record_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
confirmed_candidate_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,confirmed_candidate_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
review_row_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,review_row_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
sample_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,sample_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pdb_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,pdb_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
entry_id,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,entry_id,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
full_atom_extraction_smoke_stage,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,full_atom_extraction_smoke_stage,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_extraction_design_stage,sample_provenance,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,pocket_extraction_design_stage,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
protein_full_atom_table_source,protein_atom_source,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,protein_full_atom_table_source,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
expected_protein_atom_input_row_count,protein_atom_source,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,expected_protein_atom_input_row_count,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
ligand_full_atom_table_source,ligand_atom_source,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,ligand_full_atom_table_source,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
expected_ligand_atom_input_row_count,ligand_atom_source,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,expected_ligand_atom_input_row_count,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
endpoint_recovery_audit_source,covalent_endpoint_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,endpoint_recovery_audit_source,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
expected_endpoint_recovery_audit_rows,covalent_endpoint_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,expected_endpoint_recovery_audit_rows,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
include_covalent_residue_policy,covalent_endpoint_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,include_covalent_residue_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
include_covalent_endpoint_policy,covalent_endpoint_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,include_covalent_endpoint_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
covalent_endpoint_anchor_policy,covalent_endpoint_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,covalent_endpoint_anchor_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_center_policy,pocket_center_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,pocket_center_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_radius_angstrom,pocket_center_policy,pocket_extraction_contract,float,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,pocket_radius_angstrom,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_radius_unit,pocket_center_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,pocket_radius_unit,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
protein_atom_source_policy,pocket_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,protein_atom_source_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
ligand_atom_source_policy,pocket_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,ligand_atom_source_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
water_handling_policy,pocket_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,water_handling_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
ion_handling_policy,pocket_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,ion_handling_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
hydrogen_handling_policy,pocket_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,hydrogen_handling_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
altloc_selection_policy,altloc_model_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,altloc_selection_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
model_selection_policy,altloc_model_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,model_selection_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
distance_calculation_policy,validation_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,distance_calculation_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_membership_policy,validation_policy,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,pocket_membership_policy,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_atom_table_columns_planned,output_table_contract,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,pocket_atom_table_columns_planned,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_atom_table_validation_planned,output_table_contract,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,pocket_atom_table_validation_planned,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_extraction_run,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,pocket_extraction_run,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
pocket_atom_table_written,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,pocket_atom_table_written,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
ligand_topology_table_written,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,ligand_topology_table_written,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
sample_index_written,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,sample_index_written,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
enriched_sample_index_written,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,enriched_sample_index_written,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
final_dataset_written,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,final_dataset_written,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
model_input_materialized,status_boundary,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,model_input_materialized,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
training_ready,status_boundary,pocket_extraction_contract,bool,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,training_ready,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
training_ready_reason,status_boundary,pocket_extraction_contract,string,True,real_covalent_confirmed_candidate_pocket_extraction_design_gate_v0,training_ready_reason,define_next_smoke_contract_without_distance_calculation,non_empty_or_false_until_smoke_runs,not_training_input_yet
