dependency_name,dependency_stage,dependency_artifact_path,dependency_required_for_future_sample_index,dependency_exists,dependency_row_count,dependency_key_fields,dependency_validation_status,training_use_status
step13r_manifest,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_manifest.json,True,True,1,stage;all_checks_passed;ready_for_sample_index_design_gate,exists_and_counted,not_training_input_yet
step13r_atom_smoke_table,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,True,True,104,review_row_id;pdb_id;ligand_atom_topology_row_id,exists_and_counted,not_training_input_yet
step13r_bond_smoke_table,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_bond_topology_smoke_table.csv,True,True,113,review_row_id;pdb_id;ligand_bond_topology_row_id,exists_and_counted,not_training_input_yet
step13r_smoke_retry_audit,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,True,True,3,review_row_id;pdb_id;topology_smoke_retry_passed,exists_and_counted,not_training_input_yet
step13m_ligand_topology_restoration_candidate_contract,real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv,True,True,3,review_row_id;pdb_id;manual_confirmed_residue_comp_id;manual_confirmed_residue_atom_id,exists_and_counted,not_training_input_yet
step13l_pocket_extraction_manifest,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_extraction_smoke_manifest.json,True,True,1,stage;all_checks_passed;pocket_atom_table_written,exists_and_counted,not_training_input_yet
step13l_pocket_atom_table,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,True,True,741,review_row_id;pdb_id;pocket_atom_row_id,exists_and_counted,not_training_input_yet
step13l_pocket_extraction_audit,real_covalent_confirmed_candidate_pocket_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_extraction_audit.csv,True,True,3,review_row_id;pdb_id;pocket_extraction_passed,exists_and_counted,not_training_input_yet
step13j_ligand_full_atom_table,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0/real_covalent_confirmed_candidate_ligand_full_atom_table.csv,True,True,104,review_row_id;pdb_id;atom_site_id,exists_and_counted,not_training_input_yet
step13j_endpoint_recovery_audit,real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0/real_covalent_confirmed_candidate_full_atom_endpoint_recovery_audit.csv,True,True,3,review_row_id;pdb_id;endpoint_recovery_passed,exists_and_counted,not_training_input_yet
