future_table_name,field_name,field_group,field_description,required_for_future_export,training_use_status
step8_exported_ligand_atom_topology_table,ligand_atom_topology_row_id,atom_topology,Future readonly topology export field: ligand_atom_topology_row_id,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,review_row_id,atom_topology,Future readonly topology export field: review_row_id,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,pdb_id,atom_topology,Future readonly topology export field: pdb_id,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,expected_step8_sample_name,atom_topology,Future readonly topology export field: expected_step8_sample_name,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,source_pre_reaction_sdf_path,atom_topology,Future readonly topology export field: source_pre_reaction_sdf_path,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,source_pre_reaction_sdf_sha256,atom_topology,Future readonly topology export field: source_pre_reaction_sdf_sha256,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,rdkit_atom_idx,atom_topology,Future readonly topology export field: rdkit_atom_idx,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,atom_map_or_original_atom_id,atom_topology,Future readonly topology export field: atom_map_or_original_atom_id,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,atom_symbol,atom_topology,Future readonly topology export field: atom_symbol,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,formal_charge,atom_topology,Future readonly topology export field: formal_charge,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,aromatic,atom_topology,Future readonly topology export field: aromatic,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,hybridization,atom_topology,Future readonly topology export field: hybridization,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,degree,atom_topology,Future readonly topology export field: degree,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,explicit_valence,atom_topology,Future readonly topology export field: explicit_valence,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,implicit_valence,atom_topology,Future readonly topology export field: implicit_valence,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,is_covalent_ligand_endpoint_atom,atom_topology,Future readonly topology export field: is_covalent_ligand_endpoint_atom,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,warhead_group_status,atom_topology,Future readonly topology export field: warhead_group_status,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,linker_group_status,atom_topology,Future readonly topology export field: linker_group_status,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,scaffold_group_status,atom_topology,Future readonly topology export field: scaffold_group_status,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,export_source_stage,atom_topology,Future readonly topology export field: export_source_stage,True,not_training_input_yet
step8_exported_ligand_atom_topology_table,training_use_status,atom_topology,Future readonly topology export field: training_use_status,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,ligand_bond_topology_row_id,bond_topology,Future readonly topology export field: ligand_bond_topology_row_id,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,review_row_id,bond_topology,Future readonly topology export field: review_row_id,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,pdb_id,bond_topology,Future readonly topology export field: pdb_id,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,expected_step8_sample_name,bond_topology,Future readonly topology export field: expected_step8_sample_name,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,source_pre_reaction_sdf_path,bond_topology,Future readonly topology export field: source_pre_reaction_sdf_path,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,source_pre_reaction_sdf_sha256,bond_topology,Future readonly topology export field: source_pre_reaction_sdf_sha256,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,rdkit_bond_idx,bond_topology,Future readonly topology export field: rdkit_bond_idx,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,begin_rdkit_atom_idx,bond_topology,Future readonly topology export field: begin_rdkit_atom_idx,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,end_rdkit_atom_idx,bond_topology,Future readonly topology export field: end_rdkit_atom_idx,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,begin_atom_symbol,bond_topology,Future readonly topology export field: begin_atom_symbol,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,end_atom_symbol,bond_topology,Future readonly topology export field: end_atom_symbol,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,bond_type,bond_topology,Future readonly topology export field: bond_type,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,bond_order_numeric,bond_topology,Future readonly topology export field: bond_order_numeric,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,is_aromatic,bond_topology,Future readonly topology export field: is_aromatic,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,is_conjugated,bond_topology,Future readonly topology export field: is_conjugated,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,is_in_ring,bond_topology,Future readonly topology export field: is_in_ring,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,stereo,bond_topology,Future readonly topology export field: stereo,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,touches_covalent_ligand_endpoint,bond_topology,Future readonly topology export field: touches_covalent_ligand_endpoint,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,is_warhead_bond,bond_topology,Future readonly topology export field: is_warhead_bond,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,is_linker_bond,bond_topology,Future readonly topology export field: is_linker_bond,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,is_scaffold_bond,bond_topology,Future readonly topology export field: is_scaffold_bond,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,export_source_stage,bond_topology,Future readonly topology export field: export_source_stage,True,not_training_input_yet
step8_exported_ligand_bond_topology_table,training_use_status,bond_topology,Future readonly topology export field: training_use_status,True,not_training_input_yet
