row_type,sample_id,mask_level,expected_reactive_atom_region,step12h_filter_gate_validated,step12b_mask_level_aware_validator_validated,checkpoint_ligand_feature_dim,checkpoint_pocket_feature_dim,checkpoint_feature_semantics_source,checkpoint_feature_semantics_directly_encoded,checkpoint_10d_mapping_project,checkpoint_10d_mapping_matches_project_mapping,sample_count,ligand_atomic_numbers_unique,pocket_atomic_numbers_unique_before_filter,pocket_atomic_numbers_unique_after_filter,ligand_unknown_atom_count_before_filter,pocket_unknown_atom_count_before_filter,filtered_pocket_atom_count,filtered_pocket_atom_numbers,filtered_pocket_atom_symbols,ligand_unknown_atom_count_after_filter,pocket_unknown_atom_count_after_filter,unknown_atom_policy_triggered_after_filter,zero_vector_unknown_atom_policy_safe_after_filter,checkpoint_compatible_batch_constructed_after_filter,ligand_feature_dim,pocket_feature_dim,ligand_one_hot_rows_equal_ligand_coords_rows,pocket_one_hot_rows_equal_pocket_coords_rows,ligand_one_hot_row_sums_valid_after_filter,pocket_one_hot_row_sums_valid_after_filter,all_ligand_unknown_atom_count_zero_after_filter,all_pocket_unknown_atom_count_zero_after_filter,ligand_masks_unchanged_after_filter,ligand_reactive_atom_region_preserved,no_synthetic_fallback_used,production_filter_helper_used,production_adapter_modified,original_data_modified,feature_semantics_dimension_contract_passed_after_filter,feature_semantics_mapping_confirmed,feature_semantics_known_after_filter,real_covalent_filtered_feature_semantics_audit_passed,real_covalent_filtered_cuda_forward_backward_smoke_allowed,real_covalent_single_optimizer_step_smoke_allowed,cys_first_training_strategy_recommended,non_cys_reactive_residue_support_status,reaction_family_template_audit_required_before_broad_covalent_training,ligand_reconstruction_template_gate_required,non_cys_data_bulk_cleaning_policy,train_ready_scope_v1,recommended_next_step,status,blocking_reasons
step12h_precondition,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
checkpoint_feature_contract,,,,,,10,10,repo_dataset_info_or_config,True,"{""15"": 7, ""16"": 3, ""17"": 6, ""35"": 5, ""5"": 4, ""53"": 8, ""6"": 0, ""7"": 1, ""8"": 2, ""9"": 9}",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
filtered_real_atom_vocabulary,,,,,,,,,,,,3,"[6, 7, 8, 9, 17]","[6, 7, 8, 9, 12, 15, 16, 17]","[6, 7, 8, 9, 15, 16, 17]",0,2,2,[12],"[""Mg""]",0,0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,A_warhead_only,target,,,,,,,,,,,,,,,1,[12],"[""Mg""]",0,0,,,True,10,10,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,B_linker_warhead,target,,,,,,,,,,,,,,,1,[12],"[""Mg""]",0,0,,,True,10,10,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,B2_scaffold_warhead,target,,,,,,,,,,,,,,,1,[12],"[""Mg""]",0,0,,,True,10,10,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,B3_scaffold_only,context,,,,,,,,,,,,,,,1,[12],"[""Mg""]",0,0,,,True,10,10,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,C_scaffold_linker_warhead,target,,,,,,,,,,,,,,,1,[12],"[""Mg""]",0,0,,,True,10,10,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,passed,[]
non_cys_training_scope_boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,schema_supported_but_template_audit_pending,True,True,identify_classify_defer_until_template_gate,cys_with_known_reconstruction_template_only,,passed,[]
decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,False,,,,,,,real_covalent_filtered_cuda_forward_backward_smoke,passed,[]
