contract_section,contract_name,pdb_id,raw_path,requirement,allowed_in_next_step,forbidden_in_next_step,output_field,expected_value_or_policy,notes
input,pilot_raw_input,6DI9,data/raw/covalent_sources/pdb_mmcif_direct/structures/6DI9.cif.gz,read current pilot compressed structure file only,True,False,raw_path,pdbx_mmcif_gzip,raw_file_integrity_prevalidated=true;raw_file_must_remain_uncommitted=true;parser_smoke_may_read_raw_binary=true;parser_smoke_may_decompress_in_memory=true;parser_smoke_may_write_extracted_summary=true;parser_smoke_may_write_raw_or_decompressed_mmcif=false;parser_smoke_may_network=false;parser_smoke_may_download=false
input,pilot_raw_input,5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,read current pilot compressed structure file only,True,False,raw_path,pdbx_mmcif_gzip,raw_file_integrity_prevalidated=true;raw_file_must_remain_uncommitted=true;parser_smoke_may_read_raw_binary=true;parser_smoke_may_decompress_in_memory=true;parser_smoke_may_write_extracted_summary=true;parser_smoke_may_write_raw_or_decompressed_mmcif=false;parser_smoke_may_network=false;parser_smoke_may_download=false
input,pilot_raw_input,6OIM,data/raw/covalent_sources/pdb_mmcif_direct/structures/6OIM.cif.gz,read current pilot compressed structure file only,True,False,raw_path,pdbx_mmcif_gzip,raw_file_integrity_prevalidated=true;raw_file_must_remain_uncommitted=true;parser_smoke_may_read_raw_binary=true;parser_smoke_may_decompress_in_memory=true;parser_smoke_may_write_extracted_summary=true;parser_smoke_may_write_raw_or_decompressed_mmcif=false;parser_smoke_may_network=false;parser_smoke_may_download=false
parser_policy,scope_limit,,,only process the 3 pilot raw files,True,False,,current_pilot_only,
parser_policy,compressed_text_read,,,allow standard library in-memory compressed text stream,True,False,,memory_or_stream_only,
parser_policy,light_text_scan,,,allow lightweight text scan for selected metadata keys,True,False,,no_external_parser,
parser_policy,no_parser_libraries,,,disallow external structure parser libraries,False,True,,no Bio.PDB/MMCIFParser/PDBParser/gemmi/RDKit,
parser_policy,no_raw_outputs,,,do not write raw or expanded structure files,False,True,,no pdb/cif/mmcif/sdf/mol2 outputs,
parser_policy,no_tensor_outputs,,,do not create tensor checkpoint or model artifacts,False,True,,csv_json_md_only,
parser_policy,no_coordinate_geometry,,,do not compute coordinate geometry,False,True,,counts_only,
parser_policy,no_sequence_cluster,,,do not run UniProt or CD-HIT,False,True,,metadata_scan_only,
parser_policy,no_training,,,do not run model or optimizer workflows,False,True,,parser_smoke_only,
parser_policy,no_enriched_index,,,do not write enriched sample_index,False,True,,summary_only,
expected_extraction_contract,pdb_id,,,copy pilot PDB id into summary,True,False,pdb_id,string,
expected_extraction_contract,raw_path,,,copy raw path into summary,True,False,raw_path,path,
expected_extraction_contract,parse_status,,,record parser smoke status,True,False,parse_status,passed_or_failed,
expected_extraction_contract,gzip_open_succeeded,,,record compressed text stream open status,True,False,gzip_open_succeeded,boolean,
expected_extraction_contract,mmcif_text_stream_read_succeeded,,,record text stream read status,True,False,mmcif_text_stream_read_succeeded,boolean,
expected_extraction_contract,data_block_id,,,extract data block identifier if present,True,False,data_block_id,optional_string,
expected_extraction_contract,entry_id,,,extract _entry.id if present,True,False,entry_id,optional_string,
expected_extraction_contract,structure_title,,,extract _struct.title if present,True,False,structure_title,optional_string,
expected_extraction_contract,entity_count,,,count _entity.id records,True,False,entity_count,integer_count,
expected_extraction_contract,atom_site_row_count,,,count _atom_site loop rows without writing atom table,True,False,atom_site_row_count,integer_count,
expected_extraction_contract,chem_comp_ids,,,collect _chem_comp.id values only,True,False,chem_comp_ids,list_of_strings,
expected_extraction_contract,struct_conn_row_count,,,count _struct_conn loop rows,True,False,struct_conn_row_count,integer_count,
expected_extraction_contract,covalent_connection_candidate_count,,,count link-like connection type values,True,False,covalent_connection_candidate_count,integer_count,
expected_extraction_contract,extraction_writes_coordinates,,,must remain false,True,False,extraction_writes_coordinates,false,
expected_extraction_contract,extraction_writes_atom_table,,,must remain false,True,False,extraction_writes_atom_table,false,
expected_extraction_contract,extraction_writes_decompressed_mmcif,,,must remain false,True,False,extraction_writes_decompressed_mmcif,false,
