stage,previous_stage,section,status,evidence,decision,blocking_reasons,recommended_next_step
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,step12o_precondition,passed,"{""metadata_gap_level"": ""severe"", ""step12o_split_metadata_enrichment_design_gate_validated"": true}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,multi_source_ingestion_concept,passed,"{""large_scale_download_still_blocked_until_source_registry_license_audit"": true, ""multi_source_ingestion_definition"": ""standardize_source_specific_covalent_dataset_downloads_into_versioned_raw_records_before_enrichment""}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,source_registry_schema,passed,"{""source_registry_entry_count"": 5, ""source_urls_are_placeholders"": true}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,raw_storage_layout_design,passed,"{""raw_storage_directories_created"": false, ""raw_storage_root_design"": ""data/raw/covalent_sources""}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,download_job_manifest_schema,passed,"{""download_job_manifest_required_before_download"": true, ""download_jobs_run"": false}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,source_adapter_interface_contract,passed,"{""adapter_execution_allowed_after_this_step"": false, ""all_adapters_must_emit_canonical_raw_records"": true}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,source_specific_ingestion_design_details,passed,"{""planned_source_registry_entries"": [""CovPDB"", ""CovBinderInPDB"", ""CovalentInDB"", ""PDB/mmCIF direct"", ""local curated""], ""source_specific_ingestion_design_details_defined"": true}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,duplicate_provenance_priority_policy,passed,"{""duplicate_detection_across_sources_required"": true, ""source_priority_order_design"": [""local_curated"", ""CovPDB"", ""CovBinderInPDB"", ""PDB/mmCIF direct"", ""CovalentInDB""]}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,small_pilot_ingestion_plan,passed,"{""pilot_download_allowed_in_this_step"": false, ""pilot_max_records_per_source"": 3}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,git_data_policy,passed,"{""raw_downloads_must_not_be_committed"": true, ""raw_structures_must_not_be_committed"": true}",design defined,,real_covalent_source_registry_license_audit_gate
real_covalent_multi_source_dataset_ingestion_design_gate_v0,real_covalent_split_metadata_enrichment_design_gate_v0,safety_and_next_step_decision,passed,"{""data_downloaded"": false, ""external_network_called"": false, ""recommended_next_step"": ""real_covalent_source_registry_license_audit_gate""}",design defined,,real_covalent_source_registry_license_audit_gate
