stage,previous_stage,section,status,evidence,decision,blocking_reasons,recommended_next_step
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,step12k_precondition,passed,"{""step12b_mask_level_aware_validator_validated"": true, ""step12k_single_optimizer_step_smoke_validated"": true}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,literature_leakage_policy,passed,"{""ligand_ecfp4_tanimoto_soft_overlap_threshold"": 0.9, ""planet_v2_inspired_policy_used"": true, ""protein_sequence_identity_soft_overlap_threshold"": 0.9, ""tapping_black_box_inspired_policy_used"": true}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,generation_specific_leakage_policy,passed,"{""mask_levels_grouped_by_parent_sample"": true, ""parent_complex_group_split_required"": true}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,cys_first_diversity_policy,passed,"{""cys_only_convergence_risk_level"": ""moderate_to_high_without_diversity_controls"", ""train_ready_scope_v1"": ""cys_with_known_reconstruction_template_only""}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,split_strategy_design,passed,"{""engineering_smoke_split"": ""parent_group_random_split"", ""primary_evaluation_split"": ""scaffold_holdout_and_target_cluster_holdout""}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,optimizer_lr_scheduler_policy,passed,"{""first_tiny_run_default_lr"": 1e-06, ""lr_finder_allowed_now"": false, ""optimizer_name"": ""AdamW"", ""scheduler_allowed_for_first_tiny_run"": false}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,training_loop_policy,passed,"{""max_steps_first_tiny_run"": 10, ""multi_step_training_allowed_after_this_step"": false}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,checkpoint_artifact_policy,passed,"{""checkpoint_save_allowed_after_this_step"": false, ""git_add_checkpoint_allowed"": false}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,evaluation_policy,passed,"{""leakage_metrics_required"": true, ""per_mask_level_loss_required"": true}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,fail_fast_policy,passed,"{""nan_loss_stop_required"": true, ""protected_source_diff_stop_required"": true}",policy defined,,real_covalent_leakage_aware_split_design_gate
real_covalent_training_loop_design_gate_v0,real_covalent_filtered_single_optimizer_step_smoke_v0,safety_and_next_step_decision,passed,"{""backward_called"": false, ""model_forward_called"": false, ""optimizer_created"": false, ""recommended_next_step"": ""real_covalent_leakage_aware_split_design_gate""}",policy defined,,real_covalent_leakage_aware_split_design_gate
