stage,previous_stage,step10v_policy_passed,run_name,loop_name,step,cycle_index,mask_level,expected_mask_level,expected_target_atom_count,expected_context_atom_count,target_atom_count,context_atom_count,ligand_atom_count,sample_ids,loss_original,loss_masked_x,loss_masked_h,loss_total,loss_finite,loss_total_requires_grad,loss_decrease_required,quality_claim_allowed,backward_called,backward_success,optimizer_class,learning_rate,optimizer_step_executed,optimizer_step_success,grad_norm,max_grad_abs,finite_gradients,nonzero_gradients,grad_nan_count,grad_inf_count,param_delta_norm,max_param_delta_abs,finite_parameter_delta,nonzero_parameter_delta,post_step_param_nan_count,post_step_param_inf_count,cuda_device,elapsed_seconds,warning_triggered,warning_reasons,stop_triggered,stop_reason,checkpoint_loaded,checkpoint_saved,checkpoint_written,checkpoint_path,checkpoint_sha256,checkpoint_size_bytes,resume_smoke_passed,checkpoint_loaded_for_resume_smoke,model_state_loaded,optimizer_state_loaded,second_checkpoint_saved,training_step_called,trainer_fit_called,archive_created,model_saved,formal_training_executed,real_finetune_executed,original_source_files_modified,forbidden_artifacts_created,step_status,blocking_reasons
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,1,1,A_warhead_only,A_warhead_only,12,92,12,92,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.724632740020752,2.285966157913208,8.360984802246094,4.682796001434326,true,true,false,false,true,true,AdamW,1e-06,true,true,34.78599497289301,4.974869251251221,true,true,0,0,0.0021184040791513833,1.0132789611816406e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,1.3693611845374107,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,2,1,B_linker_warhead,B_linker_warhead,30,74,30,74,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.6842366456985474,2.6381125450134277,11.775232315063477,5.677395820617676,true,true,false,false,true,true,AdamW,1e-06,true,true,35.61000296988884,3.9671823978424072,true,true,0,0,0.0015007197969070843,1.0132789611816406e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.9217109605669975,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,3,1,B2_scaffold_warhead,B2_scaffold_warhead,86,18,86,18,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.6911761164665222,3.0014822483062744,11.201092720031738,5.932877063751221,true,true,false,false,true,true,AdamW,1e-06,true,true,45.38518359441191,6.219403266906738,true,true,0,0,0.0014598399769482908,1.0132789611816406e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.8086056634783745,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,4,1,C_scaffold_linker_warhead,C_scaffold_linker_warhead,104,0,104,0,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.7130955457687378,3.0864510536193848,11.327567100524902,6.065060138702393,true,true,false,false,true,true,AdamW,1e-06,true,true,21.823963423076563,2.457364082336426,true,true,0,0,0.0014369467085405543,1.0067597031593323e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.7845742404460907,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,5,2,A_warhead_only,A_warhead_only,12,92,12,92,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.7423899173736572,2.3299314975738525,11.648151397705078,5.401951789855957,true,true,false,false,true,true,AdamW,1e-06,true,true,20.327201347977667,3.0022308826446533,true,true,0,0,0.0013195475029635928,1.0132789611816406e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.8142758533358574,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,6,2,B_linker_warhead,B_linker_warhead,30,74,30,74,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.7106384634971619,2.718513011932373,12.989456176757812,6.027042865753174,true,true,false,false,true,true,AdamW,1e-06,true,true,31.498113578286514,3.566023826599121,true,true,0,0,0.0013069769726478297,1.0151416063308716e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.8015893846750259,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,7,2,B2_scaffold_warhead,B2_scaffold_warhead,86,18,86,18,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.6989867091178894,3.133319616317749,11.226470947265625,6.077600479125977,true,true,false,false,true,true,AdamW,1e-06,true,true,32.683584410040325,3.9671895503997803,true,true,0,0,0.0013348618997454148,1.0207295417785645e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.7807966470718384,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,8,2,C_scaffold_linker_warhead,C_scaffold_linker_warhead,104,0,104,0,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.6849460005760193,3.012317419052124,10.618213653564453,5.820906162261963,true,true,false,false,true,true,AdamW,1e-06,true,true,24.949944765827325,3.1500983238220215,true,true,0,0,0.0013568855150923869,1.024483935907483e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.8726427927613258,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,9,3,A_warhead_only,A_warhead_only,12,92,12,92,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.6808702349662781,3.4360523223876953,8.985973358154297,5.914116859436035,true,true,false,false,true,true,AdamW,1e-06,true,true,198.84268051791454,26.1372127532959,true,true,0,0,0.0012642183197571228,1.0309740900993347e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.7586219161748886,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
first_checkpointed_training_dry_run_v0,checkpoint_output_policy_design_v0,true,first_checkpointed_training_dry_run_v0,masked_covalent_training_loop_v0,10,3,B_linker_warhead,B_linker_warhead,30,74,30,74,104,BTK_C481_6DI9_pre_reaction;KRAS_G12C_5F2E_pre_reaction;KRAS_G12C_6OIM_pre_reaction,0.7139782905578613,3.179727792739868,11.250155448913574,6.143737316131592,true,true,false,false,true,true,AdamW,1e-06,true,true,25.868096548206935,3.0619382858276367,true,true,0,0,0.0012696856107530267,1.0365620255470276e-06,true,true,0,0,NVIDIA A100-SXM4-80GB,0.7695582360029221,false,,false,,false,false,false,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,passed,
