sample_id,output_sdf_path,source_ligand_sdf_path,bond_endpoint_a,bond_endpoint_b,old_bond_type,new_bond_type,action_applied,safety_decision,touched_unresolved_boundary,coordinate_hash_before,coordinate_hash_after,coordinate_hash_same,raw_sdf_hash_before,raw_sdf_hash_after,raw_sdf_hash_same,rationale
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,0,1,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,0,20,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,0,25,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,1,16,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,1,21,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,2,3,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,2,7,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,2,25,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,3,4,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,4,5,single,single,blocked,blocked,false,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,1a89d67896cfd4f2e0d24ca2ce0a4ffb63097e45881abe96d13527cb806d8ea3,true,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,430b1fa76e35f2fb9b3b1371a79994e2b0328b095dc9b6c54f361c11aad9acc8,true,one or both endpoints are not accepted warhead atoms
