section,key,value,note
extracted,atom_count,41,
extracted,element_count,C:30; F:2; N:6; O:3,
extracted,bond_count,45,
extracted,bond_order_summary,single:45,
extracted,ring_atom_count,28,
extracted,aromatic_atom_count,0,
reference,atom_count,73,
reference,element_count,C:30; F:2; H:32; N:6; O:3,
reference,bond_count,77,
reference,bond_order_summary,aromatic:23; double:2; single:52,
reference,ring_atom_count,28,
reference,aromatic_atom_count,22,
difference,atom_count_delta,-32,
difference,bond_count_delta,-32,
difference,extracted_minus_reference_elements,,
difference,reference_minus_extracted_elements,H:32,
reactive_atom,extracted_atom_id,7,final manifest atom indices must use the final selected ligand_sdf atom order; do not copy ideal SDF atom indices directly
reactive_atom,pdb_atom_name,C25,final manifest atom indices must use the final selected ligand_sdf atom order; do not copy ideal SDF atom indices directly
reactive_atom,extracted_signature,"('C', 1, ('C',), ('single',))",final manifest atom indices must use the final selected ligand_sdf atom order; do not copy ideal SDF atom indices directly
reactive_atom,extracted_local_graph,6:C:single,final manifest atom indices must use the final selected ligand_sdf atom order; do not copy ideal SDF atom indices directly
reactive_atom,reference_candidate_atom_indices,,final manifest atom indices must use the final selected ligand_sdf atom order; do not copy ideal SDF atom indices directly
reactive_atom,tentative_reference_atom_by_heavy_atom_order,7,tentative only; valid only because the extracted and reference heavy-atom element sequences match
reactive_atom,tentative_reference_local_graph,6:C:single; 49:H:single; 50:H:single; 51:H:single,tentative only; reference SDF has explicit hydrogens and reliable bond orders
