sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning,local_review_reason,manual_reference_atom_id,manual_decision,manual_note
KRAS_G12C_6OIM,0,C,C21,0,C,6,linker,false,low,,low_confidence_warhead_or_linker,,,
KRAS_G12C_6OIM,1,C,C20,1,C,5,linker,false,low,,low_confidence_warhead_or_linker,,,
KRAS_G12C_6OIM,2,C,C19,2,C,4,linker,false,low,,low_confidence_warhead_or_linker,,,
KRAS_G12C_6OIM,3,N,N6,3,N,3,linker,false,medium,,within_graph_distance_3,,,
KRAS_G12C_6OIM,4,C,C23,4,C,2,warhead,false,medium,,warhead_atom;within_graph_distance_3,,,
KRAS_G12C_6OIM,5,O,O2,5,O,3,warhead,false,medium,,warhead_atom;within_graph_distance_3,,,
KRAS_G12C_6OIM,6,C,C24,6,C,1,warhead,false,low,,warhead_atom;within_graph_distance_3;low_confidence_warhead_or_linker,,,
KRAS_G12C_6OIM,7,C,C25,7,C,0,warhead,true,high,,reactive_atom;warhead_atom;within_graph_distance_3,,,
KRAS_G12C_6OIM,8,C,C18,8,C,4,linker,false,low,,low_confidence_warhead_or_linker,,,
KRAS_G12C_6OIM,9,C,C17,9,C,5,linker,false,low,,low_confidence_warhead_or_linker,,,
