source_ligand_evidence_complete,source_protein_evidence_complete,ligand_axis_must_link,protein_axis_must_link,direct_must_link_edge,direct_must_link_reason,pair_assignment_classification,pair_assignment_decision_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,left_ligand_comp_id,right_ligand_comp_id,source_combined_evidence_row_found,same_ligand_graph,same_murcko_scaffold,same_protein_accession,same_exact_protein_sequence,same_sequence_cluster_90,same_sequence_cluster_50,same_final_leakage_group_after_transitive_closure,transitive_only_same_group,pair_assignment_passed,blocking_reasons
True,True,True,True,True,ligand_graph;ligand_scaffold;protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_both_axes,COVAPIE_PAIR_ASSIGNMENT_000001,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000002,6BV6,6BV8,JUG,JUG,True,True,True,True,True,True,True,True,False,True,
True,True,True,True,True,ligand_graph;ligand_scaffold;protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_both_axes,COVAPIE_PAIR_ASSIGNMENT_000002,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000003,6BV6,6BV5,JUG,JUG,True,True,True,True,True,True,True,True,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000003,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000004,6BV6,1AEC,JUG,E64,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000004,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000005,6BV6,1AIM,JUG,ZYA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000005,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000006,6BV6,1AU3,JUG,PCM,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000006,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000007,6BV6,1AU4,JUG,INP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000007,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000008,6BV6,1AYU,JUG,INA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000008,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000009,6BV6,1AYV,JUG,IN6,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000009,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000010,6BV6,1AYW,JUG,IN3,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000010,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000011,6BV6,1B02,JUG,UFP,True,False,False,False,False,False,False,False,False,True,
True,True,True,True,True,ligand_graph;ligand_scaffold;protein_accession;protein_exact_sequence;protein_sequence_cluster_50;protein_sequence_cluster_90,must_link_both_axes,COVAPIE_PAIR_ASSIGNMENT_000011,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000003,6BV8,6BV5,JUG,JUG,True,True,True,True,True,True,True,True,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000012,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000004,6BV8,1AEC,JUG,E64,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000013,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000005,6BV8,1AIM,JUG,ZYA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000014,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000006,6BV8,1AU3,JUG,PCM,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000015,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000007,6BV8,1AU4,JUG,INP,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000016,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000008,6BV8,1AYU,JUG,INA,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000017,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000009,6BV8,1AYV,JUG,IN6,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000018,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000010,6BV8,1AYW,JUG,IN3,True,False,False,False,False,False,False,False,False,True,
True,True,False,False,False,none,no_direct_must_link_provisional_distinct,COVAPIE_PAIR_ASSIGNMENT_000019,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000011,6BV8,1B02,JUG,UFP,True,False,False,False,False,False,False,False,False,True,
